Year,Code      Age  Both sexes        Male      Female
1980,02    AK   84         110          48          62
1980,02    AK   85         628         248         380
1980,04    AZ    0       48281       24719       23562
1980,04    AZ    1       43507       22129       21378
1980,04    AZ    2       41629       21014       20615
1980,04    AZ    3       41974       21656       20318
1980,04    AZ    4       40398       20536       19862
1980,04    AZ    5       41135       21073       20062
1980,04    AZ    6       39851       20185       19666
1980,04    AZ    7       41399       21331       20068
1980,04    AZ    8       41401       21099       20302
1980,04    AZ    9       46342       23514       22828
1980,04    AZ   10       45807       23306       22501
1980,04    AZ   11       43783       22262       21521
1980,04    AZ   12       42700       21681       21019
1980,04    AZ   13       43418       22008       21410
1980,04    AZ   14       44424       22617       21807
1980,04    AZ   15       47281       23997       23284
1980,04    AZ   16       49201       25087       24114
1980,04    AZ   17       49909       25429       24480
1980,04    AZ   18       50621       25835       24786
1980,04    AZ   19       54696       27836       26860
1980,04    AZ   20       54387       27646       26741
1980,04    AZ   21       53459       27108       26351
1980,04    AZ   22       53406       26900       26506
1980,04    AZ   23       53051       26843       26208
1980,04    AZ   24       51450       26088       25362
1980,04    AZ   25       50787       25731       25056
1980,04    AZ   26       49133       24761       24372
1980,04    AZ   27       48088       24282       23806
1980,04    AZ   28       44707       22434       22273
1980,04    AZ   29       46958       23831       23127
1980,04    AZ   30       45115       22885       22230
1980,04    AZ   31       43668       22056       21612
1980,04    AZ   32       43126       21881       21245
1980,04    AZ   33       45169       22711       22458
1980,04    AZ   34       34021       17034       16987
1980,04    AZ   35       34142       16897       17245
1980,04    AZ   36       33927       16833       17094
1980,04    AZ   37       35421       17365       18056
1980,04    AZ   38       30921       15139       15782
1980,04    AZ   39       30420       15091       15329
1980,04    AZ   40       29133       14439       14694
1980,04    AZ   41       27599       13592       14007
1980,04    AZ   42       27277       13567       13710
1980,04    AZ   43       26287       12950       13337
1980,04    AZ   44       26171       12982       13189
1980,04    AZ   45       25274       12469       12805
1980,04    AZ   46       24816       12172       12644
1980,04    AZ   47       24988       12284       12704
1980,04    AZ   48       24272       11994       12278
1980,04    AZ   49       25980       12762       13218
1980,04    AZ   50       26326       12848       13478
1980,04    AZ   51       25020       12109       12911
1980,04    AZ   52       25256       11935       13321
1980,04    AZ   53       25366       11950       13416
1980,04    AZ   54       25474       11825       13649
1980,04    AZ   55       26321       12070       14251
1980,04    AZ   56       26408       12313       14095
1980,04    AZ   57       26459       12147       14312
1980,04    AZ   58       26710       12370       14340
1980,04    AZ   59       26696       12310       14386
1980,04    AZ   60       25598       11771       13827
1980,04    AZ   61       25121       11571       13550
1980,04    AZ   62       24685       11466       13219
1980,04    AZ   63       24870       11716       13154
1980,04    AZ   64       25060       11604       13456
