Year,Age,Population
2000,<5,19178293
2000,5-9,20463852
2000,10-14,20637696
2000,15-19,20294955
2000,20-24,19116667
2000,25-29,19280263
2000,30-34,20524234
2000,35-39,22650852
2000,40-44,22517991
2000,45-49,20219527
2000,50-54,17779447
2000,55-59,13565937
2000,60-64,10863129
2000,65-69,9523909
2000,70-74,8860028
2000,75-79,7438619
2000,80-84,4984540
2000,85-89,2806405
2000,90-94,1118191
2000,95-99,287595
2000,100+,50281
2001,<5,19298217
2001,5-9,20173362
2001,10-14,20978678
2001,15-19,20456284
2001,20-24,19757286
2001,25-29,18819347
2001,30-34,20652175
2001,35-39,22235918
2001,40-44,22815834
2001,45-49,20698983
2001,50-54,18687285
2001,55-59,13968975
2001,60-64,11136320
2001,65-69,9562233
2001,70-74,8821946
2001,75-79,7455413
2001,80-84,5138205
2001,85-89,2846666
2001,90-94,1132118
2001,95-99,285256
2001,100+,48454
2002,<5,19429192
2002,5-9,19872417
2002,10-14,21261421
2002,15-19,20610370
2002,20-24,20243765
2002,25-29,18691340
2002,30-34,20658306
2002,35-39,21751218
2002,40-44,22889431
2002,45-49,21252288
2002,50-54,18739906
2002,55-59,15143067
2002,60-64,11560265
2002,65-69,9638481
2002,70-74,8750054
2002,75-79,7470461
2002,80-84,5294403
2002,85-89,2886374
2002,90-94,1149716
2002,95-99,285775
2002,100+,46943
2003,<5,19592446
2003,5-9,19620851
2003,10-14,21415353
2003,15-19,20797166
2003,20-24,20591688
2003,25-29,18771585
2003,30-34,20472210
2003,35-39,21264159
2003,40-44,22890047
2003,45-49,21722676
2003,50-54,19097278
2003,55-59,15814557
2003,60-64,12194388
2003,65-69,9830796
2003,70-74,8670119
2003,75-79,7497842
2003,80-84,5398596
2003,85-89,2952567
2003,90-94,1175910
2003,95-99,291094
2003,100+,46605
2004,<5,19785885
2004,5-9,19454237
2004,10-14,21411680
2004,15-19,21102552
2004,20-24,20845560
2004,25-29,19107055
2004,30-34,20159501
2004,35-39,20874649
2004,40-44,22925626
2004,45-49,22065262
2004,50-54,19564668
2004,55-59,16607176
2004,60-64,12698128
2004,65-69,10073429
2004,70-74,8594104
2004,75-79,7461399
2004,80-84,5528504
2004,85-89,2998919
2004,90-94,1207286
2004,95-99,293507
2004,100+,46171
2005,<5,19917400
2005,5-9,19389067
2005,10-14,21212579
2005,15-19,21486214
2005,20-24,20959955
2005,25-29,19534710
2005,30-34,19723937
2005,35-39,20798653
2005,40-44,22706885
2005,45-49,22417171
2005,50-54,20078733
2005,55-59,17503220
2005,60-64,13138277
2005,65-69,10278627
2005,70-74,8603070
2005,75-79,7463609
2005,80-84,5611193
2005,85-89,3102921
2005,90-94,1242587
2005,95-99,301368
2005,100+,46423
2006,<5,19938883
2006,5-9,19544688
2006,10-14,21033138
2006,15-19,21807709
2006,20-24,21036135
2006,25-29,20110011
2006,30-34,19285168
2006,35-39,20941233
2006,40-44,22302568
2006,45-49,22715286
2006,50-54,20570873
2006,55-59,18396860
2006,60-64,13533253
2006,65-69,10553201
2006,70-74,8649826
2006,75-79,7447034
2006,80-84,5648117
2006,85-89,3229873
2006,90-94,1275975
2006,95-99,313089
2006,100+,46992
2007,<5,20125962
2007,5-9,19714611
2007,10-14,20841042
2007,15-19,22067816
2007,20-24,21077999
2007,25-29,20542698
2007,30-34,19170765
2007,35-39,20963891
2007,40-44,21832339
2007,45-49,22799761
2007,50-54,21140178
2007,55-59,18454772
2007,60-64,14673662
2007,65-69,10970235
2007,70-74,8728492
2007,75-79,7400363
2007,80-84,5687076
2007,85-89,3358466
2007,90-94,1307782
2007,95-99,325440
2007,100+,47857
2008,<5,20271127
2008,5-9,19929602
2008,10-14,20706655
2008,15-19,22210880
2008,20-24,21180612
2008,25-29,20902668
2008,30-34,19304805
2008,35-39,20817463
2008,40-44,21375023
2008,45-49,22820973
2008,50-54,21639474
2008,55-59,18814568
2008,60-64,15342495
2008,65-69,11594347
2008,70-74,8911332
2008,75-79,7345743
2008,80-84,5730359
2008,85-89,3449778
2008,90-94,1355592
2008,95-99,340954
2008,100+,49516
2009,<5,20244518
2009,5-9,20182499
2009,10-14,20660564
2009,15-19,22192810
2009,20-24,21384122
2009,25-29,21078228
2009,30-34,19645114
2009,35-39,20507796
2009,40-44,20980015
2009,45-49,22862245
2009,50-54,22004843
2009,55-59,19280603
2009,60-64,16124997
2009,65-69,12092377
2009,70-74,9140722
2009,75-79,7295064
2009,80-84,5727711
2009,85-89,3561170
2009,90-94,1397519
2009,95-99,357910
2009,100+,50702
