DATE,UNRATE
1980-01-01,7.1750000000000000
1981-01-01,7.6166666666666667
1982-01-01,9.7083333333333333
1983-01-01,9.6000000000000000
1984-01-01,7.5083333333333333
1985-01-01,7.1916666666666667
1986-01-01,7.0000000000000000
1987-01-01,6.1750000000000000
1988-01-01,5.4916666666666667
1989-01-01,5.2583333333333333
1990-01-01,5.6166666666666667
1991-01-01,6.8500000000000000
1992-01-01,7.4916666666666667
1993-01-01,6.9083333333333333
1994-01-01,6.1000000000000000
1995-01-01,5.5916666666666667
1996-01-01,5.4083333333333333
1997-01-01,4.9416666666666667
1998-01-01,4.5000000000000000
1999-01-01,4.2166666666666667
2000-01-01,3.9666666666666667
2001-01-01,4.7416666666666667
2002-01-01,5.7833333333333333
2003-01-01,5.9916666666666667
2004-01-01,5.5416666666666667
2005-01-01,5.0833333333333333
2006-01-01,4.6083333333333333
2007-01-01,4.6166666666666667
2008-01-01,5.8000000000000000
2009-01-01,9.2833333333333333
2010-01-01,9.6083333333333333
2011-01-01,8.9333333333333333
2012-01-01,8.0750000000000000
2013-01-01,7.3583333333333333
2014-01-01,6.1583333333333333
2015-01-01,5.2750000000000000
2016-01-01,4.8750000000000000
2017-01-01,4.3583333333333333
2018-01-01,3.8916666666666667
2019-01-01,3.6833333333333333
2020-01-01,8.0916666666666667
