Year,Age,Population
2012,29,4278338
2012,30,4283760
2012,31,4241789
2012,32,4331479
2012,33,4065540
2012,34,3988187
2012,35,3951221
2012,36,3837045
2012,37,3959950
2012,38,3839255
2012,39,3902810
2012,40,4083455
2012,41,4323214
2012,42,4382897
2012,43,4157155
2012,44,4074708
2012,45,4083334
2012,46,4164107
2012,47,4420277
2012,48,4507343
2012,49,4509249
2012,50,4504730
2012,51,4564563
2012,52,4607858
2012,53,4458032
2012,54,4436472
2012,55,4391773
2012,56,4238405
2012,57,4206466
2012,58,4038983
2012,59,3890614
2012,60,3744366
2012,61,3634308
2012,62,3554325
2012,63,3453663
2012,64,3422962
2012,65,3572075
2012,66,2641524
2012,67,2609735
2012,68,2546630
2012,69,2610154
2012,70,2280583
2012,71,2089101
2012,72,1980840
2012,73,1868580
2012,74,1794041
2012,75,1658797
2012,76,1589343
2012,77,1529155
2012,78,1378612
2012,79,1338619
2012,80,1283898
2012,81,1228498
2012,82,1183577
2012,83,1073222
2012,84,1010063
2012,85,927391
2012,86,830622
2012,87,754768
2012,88,662523
2012,89,567564
2012,90,487002
2012,91,406086
2012,92,322251
2012,93,239625
2012,94,193367
2012,95,140285
2012,96,105064
2012,97,76846
2012,98,54206
2012,99,36515
2012,100,61049
2013,0,3931411
2013,1,3943348
2013,2,3993047
2013,3,3992839
2013,4,3994539
2013,5,4123745
2013,6,4142923
2013,7,4108453
2013,8,4096033
2013,9,4104437
2013,10,4074286
2013,11,4057122
2013,12,4157448
2013,13,4219450
2013,14,4148681
2013,15,4148777
2013,16,4160125
2013,17,4195070
2013,18,4293073
2013,19,4386431
2013,20,4455373
2013,21,4576397
2013,22,4662510
2013,23,4657848
2013,24,4474717
2013,25,4371789
2013,26,4299908
2013,27,4322497
2013,28,4361205
2013,29,4226954
2013,30,4297645
2013,31,4299873
2013,32,4255828
2013,33,4343274
2013,34,4075433
2013,35,3996902
2013,36,3957970
2013,37,3842857
2013,38,3964362
2013,39,3842604
2013,40,3904402
2013,41,4083774
2013,42,4321491
2013,43,4379140
2013,44,4152666
2013,45,4068692
2013,46,4075870
2013,47,4155306
2013,48,4409067
2013,49,4493977
2013,50,4493669
2013,51,4486714
2013,52,4544393
2013,53,4586282
2013,54,4435295
2013,55,4411591
2013,56,4364676
2013,57,4210570
2013,58,4177067
2013,59,4008689
2013,60,3859373
2013,61,3712043
2013,62,3600665
2013,63,3519000
2013,64,3416014
2013,65,3382794
2013,66,3527437
2013,67,2605645
2013,68,2571233
2013,69,2504866
2013,70,2563820
2013,71,2236842
2013,72,2045368
2013,73,1935290
2013,74,1821192
2013,75,1744115
2013,76,1608013
2013,77,1535726
2013,78,1472255
2013,79,1321687
2013,80,1277632
2013,81,1218844
2013,82,1159181
2013,83,1109146
2013,84,997537
2013,85,930614
2013,86,846213
2013,87,749607
2013,88,673361
2013,89,583415
2013,90,492783
2013,91,415879
2013,92,341244
2013,93,265517
2013,94,194013
2013,95,153150
2013,96,108308
2013,97,79376
2013,98,56511
2013,99,38807
2013,100,64916
2014,0,3954973
2014,1,3949559
2014,2,3960015
2014,3,4007852
2014,4,4006407
2014,5,4007123
2014,6,4135738
2014,7,4154947
2014,8,4120476
2014,9,4107986
2014,10,4116331
2014,11,4086146
2014,12,4068827
2014,13,4169630
2014,14,4232826
2014,15,4164200
2014,16,4167118
2014,17,4183063
2014,18,4222902
2014,19,4323079
2014,20,4413903
2014,21,4483840
2014,22,4608048
2014,23,4696091
2014,24,4690110
2014,25,4505156
2014,26,4401093
2014,27,4328427
2014,28,4348600
2014,29,4385247
2014,30,4249501
2014,31,4316656
2014,32,4316070
2014,33,4269847
2014,34,4355214
2014,35,4085166
2014,36,4005107
2014,37,3964930
2014,38,3849047
2014,39,3969424
2014,40,3845762
2014,41,3905670
2014,42,4083678
2014,43,4319184
2014,44,4375330
2014,45,4147392
2014,46,4061987
2014,47,4068289
2014,48,4145518
2014,49,4396791
2014,50,4479019
2014,51,4476249
2014,52,4467689
2014,53,4523296
2014,54,4563235
2014,55,4410553
2014,56,4384593
2014,57,4336093
2014,58,4180971
2014,59,4146110
2014,60,3976621
2014,61,3825974
2014,62,3677713
2014,63,3564862
2014,64,3482070
2014,65,3377015
2014,66,3340997
2014,67,3480451
2014,68,2567789
2014,69,2530744
2014,70,2461599
2014,71,2516548
2014,72,2191830
2014,73,2000206
2014,74,1888259
2014,75,1772510
2014,76,1693003
2014,77,1555999
2014,78,1480786
2014,79,1414075
2014,80,1263607
2014,81,1215729
2014,82,1152982
2014,83,1089142
2014,84,1034488
2014,85,922464
2014,86,852758
2014,87,767734
2014,88,672530
2014,89,597069
2014,90,510375
2014,91,424917
2014,92,352599
2014,93,284729
2014,94,217065
2014,95,156041
2014,96,120452
2014,97,82965
2014,98,59560
2014,99,41280
2014,100,70708
2015,0,3984144
2015,1,3973828
2015,2,3967672
2015,3,3976277
2015,4,4022785
2015,5,4020489
2015,6,4020428
2015,7,4148711
2015,8,4167765
2015,9,4133426
2015,10,4121033
2015,11,4128897
2015,12,4098625
2015,13,4082044
2015,14,4184014
2015,15,4249506
2015,16,4183336
2015,17,4190740
2015,18,4212378
2015,19,4254312
2015,20,4352429
2015,21,4444316
2015,22,4517875
2015,23,4643709
2015,24,4731169
2015,25,4724163
2015,26,4538327
2015,27,4433324
2015,28,4358832
2015,29,4376710
2015,30,4411146
2015,31,4272995
2015,32,4337303
2015,33,4334298
2015,34,4286141
2015,35,4368786
2015,36,4096138
2015,37,4014708
2015,38,3973020
2015,39,3855817
2015,40,3974207
2015,41,3849420
2015,42,3907624
2015,43,4083603
2015,44,4317303
2015,45,4370889
2015,46,4141473
2015,47,4055026
2015,48,4059493
2015,49,4134729
2015,50,4382781
2015,51,4462439
2015,52,4458057
2015,53,4447571
2015,54,4500647
2015,55,4538426
2015,56,4383906
2015,57,4355992
2015,58,4305620
2015,59,4149572
2015,60,4113021
2015,61,3942013
2015,62,3790340
2015,63,3640760
2015,64,3526596
2015,65,3442274
2015,66,3335226
2015,67,3296079
2015,68,3430360
2015,69,2527153
2015,70,2486735
2015,71,2414508
2015,72,2464193
2015,73,2141679
2015,74,1950011
2015,75,1836257
2015,76,1718782
2015,77,1636558
2015,78,1498697
2015,79,1420533
2015,80,1350403
2015,81,1200285
2015,82,1148211
2015,83,1081259
2015,84,1013571
2015,85,954754
2015,86,843278
2015,87,771721
2015,88,687162
2015,89,594409
2015,90,520830
2015,91,438629
2015,92,359436
2015,93,292695
2015,94,232294
2015,95,173061
2015,96,122361
2015,97,92105
2015,98,61601
2015,99,43288
2015,100,75472
2016,0,3963268
2016,1,4003586
2016,2,3992657
2016,3,3984985
2016,4,3992241
2016,5,4038022
2016,6,4034969
2016,7,4034355
2016,8,4162142
2016,9,4181069
2016,10,4147144
2016,11,4134412
2016,12,4142365
2016,13,4112882
2016,14,4097197
2016,15,4201142
2016,16,4269134
2016,17,4207723
2016,18,4220224
2016,19,4241920
2016,20,4281640
2016,21,4380607
2016,22,4476502
2016,23,4552075
2016,24,4676829
2016,25,4764650
2016,26,4756236
2016,27,4569728
2016,28,4462876
2016,29,4386182
2016,30,4401964
2016,31,4433489
2016,32,4293354
2016,33,4355933
2016,34,4350715
2016,35,4299623
2016,36,4379271
2016,37,4104550
2016,38,4022325
2016,39,3979404
2016,40,3860403
2016,41,3977315
2016,42,3851484
2016,43,3907487
2016,44,4082038
2016,45,4312847
2016,46,4364651
2016,47,4134387
2016,48,4046192
2016,49,4048976
2016,50,4121621
2016,51,4367006
2016,52,4444624
2016,53,4437846
2016,54,4425138
2016,55,4475470
2016,56,4511526
2016,57,4355419
2016,58,4325464
2016,59,4272878
2016,60,4115700
2016,61,4077251
2016,62,3905088
2016,63,3752148
2016,64,3600927
2016,65,3485781
2016,66,3400128
2016,67,3290872
2016,68,3248519
2016,69,3376693
2016,70,2483776
2016,71,2441159
2016,72,2366033
2016,73,2410060
2016,74,2090106
2016,75,1898429
2016,76,1782780
2016,77,1663622
2016,78,1578783
2016,79,1440113
2016,80,1358909
2016,81,1285388
2016,82,1135666
2016,83,1079613
2016,84,1009041
2016,85,938053
2016,86,875911
2016,87,765961
2016,88,693476
2016,89,610258
2016,90,520900
2016,91,450205
2016,92,373280
2016,93,300863
2016,94,240187
2016,95,187305
2016,96,136075
2016,97,94765
2016,98,69495
2016,99,45050
2016,100,81224
2017,0,3882437
2017,1,3981864
2017,2,4021261
2017,3,4009060
2017,4,4000394
2017,5,4007233
2017,6,4052428
2017,7,4048430
2017,8,4047130
2017,9,4175085
2017,10,4194214
2017,11,4159828
2017,12,4147046
2017,13,4155487
2017,14,4126881
2017,15,4113009
2017,16,4218938
2017,17,4291611
2017,18,4234934
2017,19,4247094
2017,20,4264635
2017,21,4304870
2017,22,4407415
2017,23,4504696
2017,24,4579995
2017,25,4704050
2017,26,4792003
2017,27,4783488
2017,28,4595079
2017,29,4486175
2017,30,4407592
2017,31,4421459
2017,32,4450901
2017,33,4309236
2017,34,4369875
2017,35,4361555
2017,36,4307743
2017,37,4385968
2017,38,4109899
2017,39,4026153
2017,40,3981422
2017,41,3861823
2017,42,3977690
2017,43,3850482
2017,44,3905170
2017,45,4077113
2017,46,4305556
2017,47,4355769
2017,48,4124135
2017,49,4034727
2017,50,4035320
2017,51,4106035
2017,52,4349332
2017,53,4424036
2017,54,4415026
2017,55,4399637
2017,56,4448114
2017,57,4482263
2017,58,4324183
2017,59,4291462
2017,60,4236755
2017,61,4078415
2017,62,4038221
2017,63,3864573
2017,64,3710079
2017,65,3558031
2017,66,3441721
2017,67,3354408
2017,68,3242740
2017,69,3196696
2017,70,3318766
2017,71,2437215
2017,72,2391762
2017,73,2313395
2017,74,2351500
2017,75,2034126
2017,76,1842540
2017,77,1725115
2017,78,1604246
2017,79,1516665
2017,80,1377172
2017,81,1292841
2017,82,1215835
2017,83,1066869
2017,84,1007070
2017,85,933308
2017,86,859842
2017,87,795166
2017,88,687639
2017,89,615157
2017,90,534374
2017,91,449442
2017,92,382614
2017,93,311809
2017,94,246861
2017,95,192795
2017,96,147502
2017,97,104121
2017,98,71614
2017,99,50997
2017,100,85685
2018,0,3826908
2018,1,3897917
2018,2,3996742
2018,3,4035053
2018,4,4021907
2018,5,4012789
2018,6,4019106
2018,7,4063647
2018,8,4059209
2018,9,4058207
2018,10,4186406
2018,11,4205105
2018,12,4170603
2018,13,4158257
2018,14,4167471
2018,15,4140321
2018,16,4128089
2018,17,4237764
2018,18,4314459
2018,19,4256433
2018,20,4264175
2018,21,4282203
2018,22,4324714
2018,23,4428616
2018,24,4525402
2018,25,4599604
2018,26,4723797
2018,27,4811559
2018,28,4801157
2018,29,4611101
2018,30,4500408
2018,31,4420348
2018,32,4432813
2018,33,4460668
2018,34,4317605
2018,35,4375645
2018,36,4365492
2018,37,4310380
2018,38,4387328
2018,39,4110115
2018,40,4024924
2018,41,3979514
2018,42,3859343
2018,43,3973708
2018,44,3845645
2018,45,3898452
2018,46,4068075
2018,47,4294760
2018,48,4343440
2018,49,4110710
2018,50,4019811
2018,51,4018913
2018,52,4088127
2018,53,4328837
2018,54,4400535
2018,55,4388782
2018,56,4371470
2018,57,4417512
2018,58,4449275
2018,59,4289053
2018,60,4253718
2018,61,4196759
2018,62,4037587
2018,63,3995006
2018,64,3820115
2018,65,3664537
2018,66,3511071
2018,67,3393514
2018,68,3304652
2018,69,3190525
2018,70,3140795
2018,71,3257223
2018,72,2387143
2018,73,2338608
2018,74,2256938
2018,75,2288559
2018,76,1974067
2018,77,1782832
2018,78,1663683
2018,79,1541038
2018,80,1450531
2018,81,1310292
2018,82,1222929
2018,83,1142652
2018,84,994990
2018,85,931923
2018,86,855703
2018,87,780587
2018,88,714270
2018,89,610171
2018,90,538774
2018,91,461479
2018,92,381894
2018,93,319873
2018,94,255898
2018,95,198722
2018,96,151483
2018,97,113667
2018,98,77649
2018,99,52961
2018,100,92972
2019,0,3762227
2019,1,3842257
2019,2,3911822
2019,3,4009037
2019,4,4045996
2019,5,4032231
2019,6,4022432
2019,7,4027876
2019,8,4071894
2019,9,4067320
2019,10,4066272
2019,11,4194335
2019,12,4213041
2019,13,4178933
2019,14,4167472
2019,15,4178242
2019,16,4152752
2019,17,4144536
2019,18,4257953
2019,19,4332940
2019,20,4271736
2019,21,4279639
2019,22,4300428
2019,23,4344427
2019,24,4447744
2019,25,4543038
2019,26,4616374
2019,27,4740168
2019,28,4826067
2019,29,4813805
2019,30,4621434
2019,31,4509231
2019,32,4428409
2019,33,4439376
2019,34,4465782
2019,35,4319903
2019,36,4375917
2019,37,4365049
2019,38,4308805
2019,39,4384209
2019,40,4105709
2019,41,4019958
2019,42,3974312
2019,43,3853638
2019,44,3966944
2019,45,3836998
2019,46,3888073
2019,47,4056429
2019,48,4280947
2019,49,4327992
2019,50,4094418
2019,51,4002526
2019,52,4000400
2019,53,4067623
2019,54,4304917
2019,55,4373694
2019,56,4359755
2019,57,4340608
2019,58,4384207
2019,59,4412827
2019,60,4251134
2019,61,4213365
2019,62,4153798
2019,63,3993205
2019,64,3948632
2019,65,3772844
2019,66,3615850
2019,67,3461413
2019,68,3342834
2019,69,3251426
2019,70,3135014
2019,71,3083271
2019,72,3191829
2019,73,2334191
2019,74,2282672
2019,75,2197748
2019,76,2222302
2019,77,1910947
2019,78,1720403
2019,79,1599424
2019,80,1474935
2019,81,1381382
2019,82,1240760
2019,83,1150775
2019,84,1067248
2019,85,921813
2019,86,856266
2019,87,778359
2019,88,702651
2019,89,635584
2019,90,535932
2019,91,466780
2019,92,393702
2019,93,320322
2019,94,263796
2019,95,206970
2019,96,157244
2019,97,116965
2019,98,85867
2019,99,56774
2019,100,100442
2020,0,3735010
2020,1,3773884
2020,2,3853025
2020,3,3921526
2020,4,4017847
2020,5,4054336
2020,6,4040169
2020,7,4029753
2020,8,4034785
2020,9,4078668
2020,10,4074173
2020,11,4072994
2020,12,4200977
2020,13,4219921
2020,14,4186358
2020,15,4175920
2020,16,4187874
2020,17,4164893
2020,18,4159857
2020,19,4272385
2020,20,4344572
2020,21,4283150
2020,22,4293020
2020,23,4315220
2020,24,4358793
2020,25,4461006
2020,26,4555511
2020,27,4628618
2020,28,4751001
2020,29,4835107
2020,30,4821081
2020,31,4627340
2020,32,4514736
2020,33,4432699
2020,34,4442547
2020,35,4466747
2020,36,4319361
2020,37,4374441
2020,38,4362662
2020,39,4305093
2020,40,4378957
2020,41,4100150
2020,42,4014287
2020,43,3967810
2020,44,3846684
2020,45,3957972
2020,46,3826694
2020,47,3876923
2020,48,4043448
2020,49,4265569
2020,50,4310670
2020,51,4076434
2020,52,3983727
2020,53,3979962
2020,54,4044734
2020,55,4277856
2020,56,4343881
2020,57,4327862
2020,58,4306615
2020,59,4346885
2020,60,4372095
2020,61,4208976
2020,62,4168433
2020,63,4106492
2020,64,3944582
2020,65,3897420
2020,66,3720410
2020,67,3562236
2020,68,3407082
2020,69,3286519
2020,70,3192029
2020,71,3074732
2020,72,3017173
2020,73,3117385
2020,74,2274412
2020,75,2219565
2020,76,2130427
2020,77,2147097
2020,78,1839828
2020,79,1649916
2020,80,1526957
2020,81,1400392
2020,82,1303809
2020,83,1163249
2020,84,1070307
2020,85,984343
2020,86,842226
2020,87,774636
2020,88,696138
2020,89,620583
2020,90,553813
2020,91,460157
2020,92,394211
2020,93,326753
2020,94,260690
2020,95,210633
2020,96,161205
2020,97,119744
2020,98,86169
2020,99,62300
2020,100,104819
